,tradeDate,策略均价,市场均价,alpha(bp)
0,2019/12/2,28.30986365,28.30454992,1.877341164
1,2019/12/3,28.3134179,28.30323295,3.598512981
2,2019/12/4,28.45712174,28.45495156,0.7626715
3,2019/12/5,29.16164603,29.1204593,14.1435729
4,2019/12/6,29.66911074,29.66805763,0.35496405
5,2019/12/9,29.91690674,29.92160621,-1.570593137
6,2019/12/10,30.85394459,30.82532693,9.283812333
7,2019/12/11,32.14370692,32.12822254,4.819556634
8,2019/12/12,33.72967723,33.69327998,10.80252671
9,2019/12/13,34.47696758,34.48355992,-1.911734826
