,unit,currencyCD,exchangeCD,ticker,dataDate,barTime,closePrice,highPrice,lowPrice,openPrice,shortNM,totalValue,totalVolume,vwap,ret,label,dealPrice,predict,adj_vol,,,
1446,1,CNY,XSHE,2415,2019/12/3,9:30,30.91,30.91,30.91,30.91,海康威视,4727684.5,152950,30.91,-0.005469755,0,30.91,-1,10000,309100,0,0
1447,1,CNY,XSHE,2415,2019/12/3,9:31,30.74,30.88,30.74,30.88,海康威视,11287014.58,366098,30.83058247,-0.002569315,0,30.83058247,-1,10000,308305.8247,-0.079417533,0
1448,1,CNY,XSHE,2415,2019/12/3,9:32,30.75,30.77,30.7,30.73,海康威视,8777101.9,285727,30.71848968,-0.003635766,0,30.71848968,-1,10000,307184.8968,-0.11209279,0
1449,1,CNY,XSHE,2415,2019/12/3,9:33,30.86,30.86,30.75,30.77,海康威视,6050871,196600,30.77757375,0.001923404,1,30.77757375,-1,10000,307775.7375,0.059084077,2
1450,1,CNY,XSHE,2415,2019/12/3,9:34,30.72,30.86,30.72,30.86,海康威视,8830930,286900,30.78051586,9.56E-05,1,30.78051586,-1,10000,307805.1586,0.002942105,2
1451,1,CNY,XSHE,2415,2019/12/3,9:35,30.72,30.76,30.69,30.75,海康威视,12361665,402600,30.70458271,-0.002466922,0,30.70458271,-1,10000,307045.8271,-0.075933147,0
1452,1,CNY,XSHE,2415,2019/12/3,9:36,30.82,30.82,30.71,30.71,海康威视,8754749,284600,30.76159171,0.001856693,1,30.76159171,-1,10000,307615.9171,0.057008995,2
1453,1,CNY,XSHE,2415,2019/12/3,9:37,30.76,30.82,30.74,30.81,海康威视,8286937,269500,30.74930241,-0.000399501,0,30.74930241,-1,10000,307493.0241,-0.012289296,0
1454,1,CNY,XSHE,2415,2019/12/3,9:38,30.77,30.8,30.74,30.76,海康威视,4741452,154100,30.7686697,0.000629845,1,30.7686697,-1,10000,307686.697,0.019367283,2
1455,1,CNY,XSHE,2415,2019/12/3,9:39,30.69,30.77,30.68,30.77,海康威视,5333874,173700,30.70739206,-0.00199156,0,30.70739206,-1,10000,307073.9206,-0.06127764,0
1456,1,CNY,XSHE,2415,2019/12/3,9:40,30.59,30.68,30.58,30.68,海康威视,10841898,354100,30.6181813,-0.002905188,0,30.6181813,-1,10000,306181.813,-0.089210751,0
1457,1,CNY,XSHE,2415,2019/12/3,9:41,30.6,30.6,30.57,30.59,海康威视,16604208,542900,30.5842844,-0.001107084,0,30.5842844,-1,10000,305842.844,-0.033896906,0
1458,1,CNY,XSHE,2415,2019/12/3,9:42,30.69,30.7,30.6,30.6,海康威视,15623110.88,509452,30.6665022,0.002688237,1,30.6665022,-1,10000,306665.022,0.082217804,2
1459,1,CNY,XSHE,2415,2019/12/3,9:43,30.76,30.76,30.68,30.69,海康威视,6445727.12,209948,30.70154095,0.001142574,1,30.70154095,-1,10000,307015.4095,0.035038751,2
1460,1,CNY,XSHE,2415,2019/12/3,9:44,30.79,30.8,30.77,30.77,海康威视,5897699,191600,30.78131002,0.002598211,1,30.78131002,-1,10000,307813.1002,0.079769068,2
1461,1,CNY,XSHE,2415,2019/12/3,9:45,30.8,30.8,30.75,30.79,海康威视,5094453.31,165503,30.78163725,1.06E-05,1,30.78163725,-1,10000,307816.3725,0.00032723,2
1462,1,CNY,XSHE,2415,2019/12/3,9:46,30.88,30.91,30.79,30.79,海康威视,7682646,248900,30.86639614,0.002753554,1,30.86639614,-1,10000,308663.9614,0.084758892,2
1463,1,CNY,XSHE,2415,2019/12/3,9:47,30.83,30.89,30.81,30.87,海康威视,5500798.6,178300,30.85136624,-0.000486934,0,30.85136624,-1,10000,308513.6624,-0.015029906,0
1464,1,CNY,XSHE,2415,2019/12/3,9:48,30.87,30.87,30.84,30.84,海康威视,3985593,129200,30.84824303,-0.000101234,0,30.84824303,-1,10000,308482.4303,-0.003123203,0
1465,1,CNY,XSHE,2415,2019/12/3,9:49,30.84,30.87,30.79,30.87,海康威视,8413813.88,272900,30.83112451,-0.000554927,0,30.83112451,-1,10000,308311.2451,-0.01711852,0
1466,1,CNY,XSHE,2415,2019/12/3,9:50,30.8,30.84,30.78,30.84,海康威视,4636732,150500,30.8088505,-0.000722452,0,30.8088505,-1,10000,308088.505,-0.022274016,0
1467,1,CNY,XSHE,2415,2019/12/3,9:51,30.74,30.8,30.74,30.78,海康威视,2114423,68700,30.77762737,-0.001013447,0,30.77762737,-1,10000,307776.2737,-0.031223133,0
1468,1,CNY,XSHE,2415,2019/12/3,9:52,30.74,30.75,30.7,30.75,海康威视,4672289,152100,30.71853386,-0.001920015,0,30.71853386,-1,10000,307185.3386,-0.059093506,0
1469,1,CNY,XSHE,2415,2019/12/3,9:53,30.79,30.8,30.73,30.74,海康威视,2848854,92600,30.76516199,0.001517915,1,30.76516199,-1,10000,307651.6199,0.046628128,2
1470,1,CNY,XSHE,2415,2019/12/3,9:54,30.82,30.82,30.76,30.8,海康威视,4088392,132800,30.78608434,0.000680066,1,30.78608434,-1,10000,307860.8434,0.02092235,2
1471,1,CNY,XSHE,2415,2019/12/3,9:55,30.94,30.95,30.8,30.8,海康威视,8003899.84,258941,30.91012949,0.00402926,1,30.91012949,-1,10000,309101.2949,0.124045152,2
1472,1,CNY,XSHE,2415,2019/12/3,9:56,30.89,30.95,30.88,30.94,海康威视,7847933,253800,30.92172183,0.000375034,1,30.92172183,-1,10000,309217.2183,0.011592339,2
