时间,参与率
9:31,0.109354565
9:32,0.306702319
9:33,0.795999506
9:34,0.411393975
9:35,0.71012404
9:36,0.285709338
9:37,0.722109256
9:38,0.460053478
9:39,0.545031509
9:40,0.224298681
9:41,0.175528096
9:42,0.201578202
9:43,0.265333169
9:44,0.077544129
9:45,0.123210867
9:46,0.100030332
9:47,0.060281752
9:48,0.222838403
9:49,0.294560919
9:50,0.116739355
9:51,0.087899278
9:52,0.324743631
9:53,0.073025608
9:54,0.241723014
9:55,0.2940548
9:56,0.135502687
9:57,0.118027513
9:58,0.033153796
9:59,0.071998273
10:00,0.209730262
10:01,0.162526015
10:02,0.332310473
10:03,0.15158538
10:04,0.17570831
10:05,0.150784047
10:06,0.208962019
10:07,0.139251337
10:08,0.139706036
10:09,0.740865341
10:10,0.358033251
10:11,0.118190534
10:12,0.471459762
10:13,0.112592035
10:14,0.316925729
10:15,0.153488694
10:16,0.266158466
10:17,0.292546827
10:18,0.203254031
10:19,0.66851521
10:20,0.337554031
10:21,0.305062199
10:22,0.770900422
10:23,0.19853816
10:24,0.434365213
10:25,1.188471484
10:26,0.272515754
10:27,0.737671956
10:28,0.445676807
10:29,0.264922436
10:30,0.291550075
10:31,0.282409066
10:32,0.156007196
10:33,1.33703042
10:34,1.172191053
10:35,0.586095527
10:36,0.281943812
10:37,1.358253125
10:38,0.069625669
10:39,0.105316858
10:40,0.246244451
10:41,0.14538989
10:42,0.255795372
10:43,0.471459762
10:44,0.2216838
10:45,0.785045384
10:46,0.716066501
10:47,0.80347368
10:48,0.412385286
10:49,1.840213911
10:50,1.33703042
10:51,0.59630625
10:52,0.336889555
10:53,0.457593299
10:54,0.626886058
10:55,0.239691728
10:56,0.326602851
10:57,0.582108482
10:58,0.665913983
10:59,0.753920237
11:00,0.396157161
11:01,0.200398002
11:02,0.728254867
11:03,0.864342898
11:04,0.457593299
11:05,0.478044396
11:06,0.476712796
11:07,1.118561397
11:08,0.950777187
11:09,0.891353613
11:10,0.868730425
11:11,0.080285928
11:12,0.692874064
11:13,0.930108118
11:14,2.037379687
11:15,1.402786014
11:16,1.156350633
11:17,1.049937998
11:18,1.402786014
11:19,7.130828906
11:20,1.069958698
11:21,1.148589891
11:22,0.462540253
11:23,2.194101202
11:24,0.526584288
11:25,0.586095527
11:26,0.372043247
11:27,0.961460077
11:28,1.090063018
11:29,0.811089544
11:30,0.21941012
13:01,0.319887652
13:02,0.561114406
13:03,1.231222257
13:04,3.641274335
13:05,0.592179563
13:06,2.061926431
13:07,0.498950128
13:08,0.167292174
13:09,0.46379375
13:10,0.13024345
13:11,0.13391228
13:12,0.289087658
13:13,0.122424669
13:14,0.110555487
13:15,0.247870769
13:16,0.4410822
13:17,0.283025557
13:18,0.038115789
13:19,0.031964866
13:20,0.064973384
13:21,0.200398002
13:22,0.169613373
13:23,0.197165776
13:24,0.048822345
13:25,0.068128939
13:26,0.128967516
13:27,0.393425043
13:28,0.402682103
13:29,0.32290546
13:30,0.262082533
13:31,0.983562608
13:32,0.655708405
13:33,0.552064173
13:34,0.192725106
13:35,0.239022198
13:36,0.32598075
13:37,0.203012923
13:38,0.203495712
13:39,0.097404607
13:40,0.416398768
13:41,0.266573043
13:42,0.4433676
13:43,0.207191155
13:44,0.162526015
13:45,0.163927101
13:46,0.112592035
13:47,0.248749846
13:48,0.273386412
13:49,0.302367303
13:50,0.650722029
13:51,0.156435003
13:52,0.2955784
13:53,0.02288811
13:54,0.107770714
13:55,0.074733578
13:56,0.084388508
13:57,0.183626495
13:58,0.107974696
13:59,0.273386412
14:00,0.341596594
14:01,0.285709338
14:02,0.397999753
14:03,0.225184071
14:04,0.116263515
14:05,0.388072321
14:06,0.192292015
14:07,0.209730262
14:08,0.203737969
14:09,0.110484115
14:10,0.410407419
14:11,0.580135233
14:12,0.374485544
14:13,0.128387017
14:14,0.02156574
14:15,0.034855376
14:16,0.153349785
14:17,0.270795256
14:18,0.425721129
14:19,0.35506202
14:20,0.434365213
14:21,0.269936741
14:22,0.254294047
14:23,0.713082891
14:24,0.334911729
14:25,0.085017334
14:26,0.120444714
14:27,0.158462865
14:28,0.574294945
14:29,0.241042104
14:30,0.182490823
14:31,0.127082821
14:32,0.148677671
14:33,0.140865155
14:34,0.617833551
14:35,0.153076828
14:36,0.517038954
14:37,0.207946408
14:38,0.961460077
14:39,0.368835978
14:40,0.546772823
14:41,0.347139744
14:42,0.317513718
14:43,0.332956992
14:44,0.304259518
14:45,0.230958021
14:46,0.244485562
14:47,0.310598718
14:48,0.201104458
14:49,0.148946818
14:50,0.217735234
14:51,0.30130263
14:52,0.293847794
14:53,0.270790971
14:54,0.509891234
14:55,0.385450211
14:56,0.199929782
14:57,0.211806799
