,dataDate,exchangeCD,ticker,dataTime,askPrice1,askPrice2,askPrice3,askPrice4,askPrice5,askVolume1,askVolume2,askVolume3,askVolume4,askVolume5,bidPrice1,bidPrice2,bidPrice3,bidPrice4,bidPrice5,bidVolume1,bidVolume2,bidVolume3,bidVolume4,bidVolume5,currencyCD,deal,highPrice,lastPrice,lowPrice,openPrice,prevClosePrice,secOffset,shortNM,value,volume,barTime,avgPrice,amplitude,spread,openDiff,trackError,askTrackError1,bidTrackError1,midPrice,mktAskWidth,mktBidWidth,mktWidth,midSpread,ma5,ma10,ma20,maDiff10,maDiff20,totalAskVolume,totalBidVolume,volumeImbalance1,volumeImbalanceTotal,volumePerDeal,volumeRatio,valuePerDeal,ret_spread
0,2019-12-05,XSHE,2180,09:25:03,28.4,28.48,28.49,28.5,28.54,2800,1500,2000,14300,4000,28.31,28.3,28.25,28.21,28.15,2700,600,1200,5500,3000,CNY,28,28.4,28.4,28.4,28.4,28.25,5103,纳思达,866200.0,30500,09:25,28.4,0.0,-0.08999999999999986,0.005309734513274286,0.0,0.0,-0.0031690140845070376,28.354999999999997,0.14000000000000057,-0.16000000000000014,-0.3000000000000007,-0.045000000000001705,,,,,,24600,13000,-0.01818181818181818,-0.30851063829787234,1089.2857142857142,0.001480270086682675,30935.714285714286,-700915.0844715447
1,2019-12-05,XSHE,2180,09:30:00,28.34,28.4,28.48,28.49,28.5,900,2800,1500,2000,14300,28.31,28.3,28.25,28.21,28.15,2700,600,13500,5500,3000,CNY,29,28.4,28.34,28.34,28.4,28.25,5400,纳思达,880370.0,31000,09:30,28.399032258064516,0.002117148906139687,-0.030000000000001137,0.005309734513274286,-0.0020786714676783486,-0.0020786714676783486,-0.0031350454922362448,28.325,0.16000000000000014,-0.16000000000000014,-0.3200000000000003,-0.015000000000000568,,,,,,21500,25300,0.5,0.0811965811965812,1068.9655172413793,0.0015045368094151778,30357.58620689655,-612242.7722325581
2,2019-12-05,XSHE,2180,09:30:03,28.45,28.48,28.49,28.5,28.54,5000,2700,5000,1600,200,28.42,28.4,28.32,28.31,28.26,65400,200,45800,800,800,CNY,56,28.44,28.42,28.3,28.4,28.25,5403,纳思达,1398983.0,49300,09:30,28.376937119675457,0.0049261083743842565,-0.029999999999997584,0.005309734513274286,0.001517530949268187,0.0025747274984756333,0.001517530949268187,28.435000000000002,0.08999999999999986,-0.16000000000000014,-0.25,0.015000000000000568,,,,,,14500,113000,0.8579545454545454,0.7725490196078432,880.3571428571429,0.0023926988614247826,24981.839285714286,-412682.85103448277
3,2019-12-05,XSHE,2180,09:30:06,28.42,28.45,28.48,28.49,28.5,2600,3600,2700,5000,1600,28.35,28.34,28.32,28.31,28.26,4800,100,45800,800,800,CNY,83,28.45,28.35,28.3,28.4,28.25,5406,纳思达,3410975.0,120100,09:30,28.401124063280598,0.00529100529100524,-0.07000000000000028,0.005309734513274286,-0.0018000718269701884,0.0006646193537039691,-0.0018000718269701884,28.385,0.0799999999999983,-0.08999999999999986,-0.16999999999999815,0.03500000000000014,,,,,,15500,52300,0.2972972972972973,0.5427728613569321,1446.987951807229,0.005828866800347189,41096.0843373494,-441162.4370322581
4,2019-12-05,XSHE,2180,09:30:09,28.42,28.45,28.47,28.48,28.49,400,3600,1000,2700,5000,28.35,28.34,28.32,28.26,28.25,3700,100,45800,800,12700,CNY,97,28.45,28.42,28.3,28.4,28.25,5409,纳思达,3507512.0,123500,09:30,28.400906882591094,0.0052779732582687745,-0.07000000000000028,0.005309734513274286,0.0006722713992140441,0.0006722713992140441,-0.0017924386288628476,28.385,0.06999999999999673,-0.10000000000000142,-0.16999999999999815,-0.03500000000000014,28.386000000000003,,,,,12700,63100,0.8048780487804879,0.6649076517150396,1273.1958762886597,0.005993880514928209,36159.9175257732,-361463.3568503937
5,2019-12-05,XSHE,2180,09:30:12,28.42,28.45,28.47,28.48,28.49,10400,2500,1000,2700,5000,28.35,28.34,28.32,28.3,28.26,3500,100,45800,1400,800,CNY,102,28.45,28.35,28.3,28.4,28.25,5412,纳思达,3555845.0,125200,09:30,28.4013178913738,0.00529100529100524,-0.07000000000000028,0.005309734513274286,-0.001806884158336377,0.0006577902017665062,-0.001806884158336377,28.385,0.06999999999999673,-0.08999999999999986,-0.1599999999999966,0.03500000000000014,28.375999999999998,,,,,21600,51600,-0.49640287769784175,0.4098360655737705,1227.450980392157,0.0060763873722187185,34861.22549019608,-614441.3452314815
6,2019-12-05,XSHE,2180,09:30:15,28.42,28.45,28.47,28.48,28.49,10600,2500,1000,2700,5000,28.35,28.32,28.3,28.26,28.25,3200,45800,1400,800,12700,CNY,105,28.45,28.42,28.3,28.4,28.25,5415,纳思达,3567192.0,125600,09:30,28.401210191082804,0.0052779732582687745,-0.07000000000000028,0.005309734513274286,0.0006615847983512175,0.0006615847983512175,-0.0018030989080486722,28.385,0.06999999999999673,-0.10000000000000142,-0.16999999999999815,-0.03500000000000014,28.392000000000003,,,,,21800,63900,-0.5362318840579711,0.4912485414235706,1196.1904761904761,0.00609580075040472,33973.25714285715,-620110.0284862386
7,2019-12-05,XSHE,2180,09:30:18,28.42,28.45,28.47,28.48,28.49,8600,2500,1000,2700,5000,28.35,28.32,28.3,28.26,28.25,3800,45800,1400,800,400,CNY,108,28.45,28.42,28.3,28.4,28.25,5418,纳思达,3629702.0,127800,09:30,28.401424100156493,0.0052779732582687745,-0.07000000000000028,0.005309734513274286,0.0006540481835699931,0.0006540481835699931,-0.0018106169597393025,28.385,0.06999999999999673,-0.10000000000000142,-0.16999999999999815,-0.03500000000000014,28.391999999999996,,,,,19800,52200,-0.3870967741935484,0.45,1183.3333333333333,0.006202574330427733,33608.351851851854,-563278.3376767677
8,2019-12-05,XSHE,2180,09:30:21,28.42,28.45,28.47,28.48,28.49,17000,2500,1000,2700,5000,28.35,28.32,28.3,28.26,28.25,3600,45800,1400,800,400,CNY,109,28.45,28.35,28.3,28.4,28.25,5421,纳思达,3635372.0,128000,09:30,28.40134375,0.00529100529100524,-0.07000000000000028,0.005309734513274286,-0.0018077929851469565,0.0006568791309391102,-0.0018077929851469565,28.385,0.06999999999999673,-0.10000000000000142,-0.16999999999999815,0.03500000000000014,28.391999999999996,,,,,28200,52000,-0.6504854368932039,0.2967581047381546,1174.3119266055046,0.006212281019520734,33352.036697247706,-802028.7785815602
9,2019-12-05,XSHE,2180,09:30:24,28.4,28.41,28.42,28.45,28.47,500,3400,16800,2500,1000,28.35,28.32,28.3,28.26,28.25,3700,45800,1700,800,400,CNY,109,28.45,28.35,28.3,28.4,28.25,5424,纳思达,3635372.0,128000,09:30,28.40134375,0.00529100529100524,-0.04999999999999716,0.005309734513274286,-0.0018077929851469565,-4.73129022284447e-05,-0.0018077929851469565,28.375,0.07000000000000028,-0.10000000000000142,-0.1700000000000017,0.02499999999999858,28.377999999999997,28.381999999999998,,-0.004000000000001336,,24200,52400,0.7619047619047619,0.3681462140992167,1174.3119266055046,0.006212281019520734,33352.036697247706,-687783.6789669421
